elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
18.647,31.5,0.3078,0,0.000,4.56,NORMAL,RECOVERED,1
18.657,36.3,0.3023,0,0.000,4.55,NORMAL,RECOVERED,1
18.690,42.2,0.2883,0,0.000,4.53,NORMAL,RECOVERED,1
18.726,41.0,0.2925,0,0.000,4.51,NORMAL,RECOVERED,1
18.764,39.8,0.2952,0,0.000,4.49,NORMAL,RECOVERED,1
18.790,38.4,0.2963,0,0.000,4.48,NORMAL,RECOVERED,1
18.821,38.4,0.3048,0,0.000,4.46,NORMAL,RECOVERED,1
18.870,37.8,0.2973,0,0.000,4.43,NORMAL,RECOVERED,1
18.888,36.1,0.2897,0,0.000,4.42,NORMAL,RECOVERED,1
18.926,38.0,0.2971,0,0.000,4.40,NORMAL,RECOVERED,1
18.966,36.8,0.2971,0,0.000,4.38,NORMAL,RECOVERED,1
18.992,35.6,0.2977,0,0.000,4.37,NORMAL,RECOVERED,1
19.020,35.9,0.2934,0,0.000,4.35,NORMAL,RECOVERED,1
19.057,36.0,0.2973,0,0.000,4.33,NORMAL,RECOVERED,1
19.095,35.1,0.2990,0,0.000,4.31,NORMAL,RECOVERED,1
19.123,34.1,0.3007,0,0.000,4.30,NORMAL,RECOVERED,1
19.163,34.4,0.2930,0,0.000,4.28,NORMAL,RECOVERED,1
19.195,33.4,0.2748,0,0.000,4.26,NORMAL,RECOVERED,1
19.232,33.2,0.2630,0,0.000,4.25,NORMAL,RECOVERED,1
19.348,32.6,0.2670,0,0.000,4.19,NORMAL,RECOVERED,1
19.362,30.2,0.2761,0,0.000,4.18,NORMAL,RECOVERED,1
19.398,34.3,0.2756,0,0.000,4.16,NORMAL,RECOVERED,1
19.420,33.7,0.2788,0,0.000,4.15,NORMAL,RECOVERED,1
19.458,34.8,0.2733,0,0.000,4.14,NORMAL,RECOVERED,1
19.493,33.9,0.2698,0,0.000,4.12,NORMAL,RECOVERED,1
19.533,33.4,0.2757,0,0.000,4.10,NORMAL,RECOVERED,1
19.557,32.6,0.2872,0,0.000,4.09,NORMAL,RECOVERED,1
19.591,33.4,0.2778,0,0.000,4.07,NORMAL,RECOVERED,1
19.626,33.0,0.2739,0,0.000,4.06,NORMAL,RECOVERED,1
19.658,32.6,0.2711,0,0.000,4.04,NORMAL,RECOVERED,1
19.688,32.4,0.2673,0,0.000,4.03,NORMAL,RECOVERED,1
19.729,32.6,0.2721,0,0.000,4.01,NORMAL,RECOVERED,1
19.767,31.7,0.2687,0,0.000,3.99,NORMAL,RECOVERED,1
19.790,31.2,0.2672,0,0.000,3.98,NORMAL,RECOVERED,1
19.827,32.5,0.2731,0,0.000,3.97,NORMAL,RECOVERED,1
19.866,31.9,0.2687,0,0.000,3.95,NORMAL,RECOVERED,1
19.888,31.3,0.2765,0,0.000,3.94,NORMAL,RECOVERED,1
19.927,32.7,0.2731,0,0.000,3.92,NORMAL,RECOVERED,1
19.954,32.0,0.2723,0,0.000,3.91,NORMAL,RECOVERED,1
19.995,32.5,0.2711,0,0.000,3.90,NORMAL,RECOVERED,1
20.022,31.7,0.2624,0,0.000,3.89,NORMAL,RECOVERED,1
20.057,32.4,0.2679,0,0.000,3.87,NORMAL,RECOVERED,1
20.090,31.9,0.2750,0,0.000,3.86,NORMAL,RECOVERED,1
20.129,31.8,0.2797,0,0.000,3.84,NORMAL,RECOVERED,1
20.154,31.2,0.2832,0,0.000,3.83,NORMAL,RECOVERED,1
20.200,31.9,0.2827,0,0.000,3.81,NORMAL,RECOVERED,1
20.223,31.0,0.2669,0,0.000,3.80,NORMAL,RECOVERED,1
20.258,32.2,0.2753,0,0.000,3.79,NORMAL,RECOVERED,1
20.291,31.8,0.2770,0,0.000,3.78,NORMAL,RECOVERED,1
20.328,31.7,0.2872,0,0.000,3.76,NORMAL,RECOVERED,1
20.357,31.2,0.2960,0,0.000,3.75,NORMAL,RECOVERED,1
20.395,31.5,0.2908,0,0.000,3.74,NORMAL,RECOVERED,1
20.426,31.0,0.2885,0,0.000,3.72,NORMAL,RECOVERED,1
20.456,31.2,0.2952,0,0.000,3.71,NORMAL,RECOVERED,1
20.490,31.4,0.2869,0,0.000,3.70,NORMAL,RECOVERED,1
20.534,31.1,0.2945,0,0.000,3.68,NORMAL,RECOVERED,1
20.556,30.4,0.2983,0,0.000,3.67,NORMAL,RECOVERED,1
20.594,31.6,0.2905,0,0.000,3.66,NORMAL,RECOVERED,1
20.623,31.1,0.2926,0,0.000,3.65,NORMAL,RECOVERED,1
20.661,31.5,0.3000,0,0.000,3.63,NORMAL,RECOVERED,1
20.695,31.0,0.3078,0,0.000,3.62,NORMAL,RECOVERED,1
20.730,30.8,0.2939,0,0.000,3.61,NORMAL,RECOVERED,1
20.760,30.6,0.2946,0,0.000,3.60,NORMAL,RECOVERED,1
20.804,30.8,0.3045,0,0.000,3.58,NORMAL,RECOVERED,1
20.824,30.0,0.3051,0,0.000,3.58,NORMAL,RECOVERED,1
20.861,32.1,0.3119,0,0.000,3.56,NORMAL,RECOVERED,1
20.893,31.6,0.2887,0,0.000,3.55,NORMAL,RECOVERED,1
20.924,31.6,0.1837,1,0.000,3.86,NORMAL,INSTANT,1
20.959,31.6,0.0442,1,0.035,4.18,NORMAL,INSTANT,1
20.996,31.3,0.0450,1,0.070,4.52,NORMAL,INSTANT,1
21.028,31.0,0.0413,1,0.102,4.81,NORMAL,INSTANT,1
21.060,31.0,0.0931,1,0.135,5.12,NORMAL,INSTANT,1
21.088,30.9,0.1908,1,0.164,5.38,NORMAL,INSTANT,1
21.124,31.4,0.2206,1,0.200,5.70,NORMAL,INSTANT,1
21.162,31.0,0.2299,0,0.000,5.68,NORMAL,RECOVERED,1
21.199,30.6,0.2412,0,0.000,5.66,NORMAL,RECOVERED,1
21.223,30.2,0.2504,0,0.000,5.65,NORMAL,RECOVERED,1
21.261,31.3,0.2550,0,0.000,5.63,NORMAL,RECOVERED,1
21.295,30.9,0.2616,0,0.000,5.61,NORMAL,RECOVERED,1
21.323,30.7,0.2652,0,0.000,5.60,NORMAL,RECOVERED,1
21.358,31.2,0.2647,0,0.000,5.58,NORMAL,RECOVERED,1
21.389,31.0,0.2729,0,0.000,5.56,NORMAL,RECOVERED,1
21.428,31.0,0.2795,0,0.000,5.54,NORMAL,RECOVERED,1
21.464,30.5,0.2760,0,0.000,5.52,NORMAL,RECOVERED,1
21.494,30.3,0.2773,0,0.000,5.51,NORMAL,RECOVERED,1
21.534,30.5,0.2829,0,0.000,5.49,NORMAL,RECOVERED,1
21.562,29.9,0.2904,0,0.000,5.47,NORMAL,RECOVERED,1
21.597,30.8,0.2942,0,0.000,5.46,NORMAL,RECOVERED,1
21.624,30.5,0.2844,0,0.000,5.44,NORMAL,RECOVERED,1
21.659,31.2,0.2876,0,0.000,5.43,NORMAL,RECOVERED,1
21.689,30.8,0.2926,0,0.000,5.41,NORMAL,RECOVERED,1
21.729,31.3,0.2920,0,0.000,5.39,NORMAL,RECOVERED,1
21.757,30.5,0.2792,0,0.000,5.38,NORMAL,RECOVERED,1
21.797,31.1,0.2646,0,0.000,5.36,NORMAL,RECOVERED,1
21.824,30.5,0.2680,0,0.000,5.34,NORMAL,RECOVERED,1
21.871,31.2,0.2805,0,0.000,5.32,NORMAL,RECOVERED,1
21.893,30.2,0.2771,0,0.000,5.31,NORMAL,RECOVERED,1
21.924,31.7,0.2688,0,0.000,5.30,NORMAL,RECOVERED,1
21.962,31.7,0.2702,0,0.000,5.28,NORMAL,RECOVERED,1
21.996,31.2,0.2723,0,0.000,5.26,NORMAL,RECOVERED,1
22.025,31.0,0.2753,0,0.000,5.25,NORMAL,RECOVERED,1
22.144,31.3,0.2685,0,0.000,5.19,NORMAL,RECOVERED,1
22.225,29.0,0.2689,0,0.000,5.16,NORMAL,RECOVERED,1
22.272,27.4,0.2844,0,0.000,5.14,NORMAL,RECOVERED,1
22.285,26.7,0.2890,0,0.000,5.13,NORMAL,RECOVERED,1
22.297,31.8,0.2815,0,0.000,5.13,NORMAL,RECOVERED,1
22.325,37.3,0.2918,0,0.000,5.11,NORMAL,RECOVERED,1
22.355,37.1,0.2994,0,0.000,5.10,NORMAL,RECOVERED,1
22.394,36.7,0.2850,0,0.000,5.08,NORMAL,RECOVERED,1
22.420,35.6,0.2861,0,0.000,5.07,NORMAL,RECOVERED,1
22.468,35.9,0.3010,0,0.000,5.05,NORMAL,RECOVERED,1
22.494,34.4,0.3076,0,0.000,5.04,NORMAL,RECOVERED,1
22.536,34.6,0.2890,0,0.000,5.02,NORMAL,RECOVERED,1
22.563,33.6,0.2913,0,0.000,5.01,NORMAL,RECOVERED,1
22.597,34.0,0.2888,0,0.000,5.00,NORMAL,RECOVERED,1
22.628,33.5,0.2903,0,0.000,4.98,NORMAL,RECOVERED,1
22.656,33.4,0.2980,0,0.000,4.97,NORMAL,RECOVERED,1
22.698,33.6,0.2919,0,0.000,4.95,NORMAL,RECOVERED,1
22.730,32.6,0.2928,0,0.000,4.94,NORMAL,RECOVERED,1
22.760,32.5,0.3069,0,0.000,4.93,NORMAL,RECOVERED,1
22.790,32.5,0.3002,0,0.000,4.92,NORMAL,RECOVERED,1
22.822,32.6,0.3010,0,0.000,4.90,NORMAL,RECOVERED,1
22.865,32.5,0.3013,0,0.000,4.89,NORMAL,RECOVERED,1
22.897,31.6,0.3002,0,0.000,4.87,NORMAL,RECOVERED,1
22.937,31.5,0.2998,0,0.000,4.86,NORMAL,RECOVERED,1
22.958,30.9,0.3074,0,0.000,4.85,NORMAL,RECOVERED,1
22.990,32.5,0.3038,0,0.000,4.84,NORMAL,RECOVERED,1
23.030,32.4,0.2934,0,0.000,4.82,NORMAL,RECOVERED,1
23.057,31.7,0.2971,0,0.000,4.81,NORMAL,RECOVERED,1
23.092,32.1,0.3136,0,0.000,4.80,NORMAL,RECOVERED,1
23.125,31.8,0.2956,0,0.000,4.78,NORMAL,RECOVERED,1
23.165,31.6,0.3044,0,0.000,4.77,NORMAL,RECOVERED,1
