elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,event_state,drowsy,face_detected
24.760,30.9,0.2340,0,0.000,3.46,NORMAL,0,1
24.788,30.7,0.2373,0,0.000,3.45,NORMAL,0,1
24.819,31.2,0.2433,0,0.000,3.44,NORMAL,0,1
24.864,31.3,0.2461,0,0.000,3.43,NORMAL,0,1
24.892,30.4,0.2541,0,0.000,3.42,NORMAL,0,1
24.924,31.0,0.2503,0,0.000,3.42,NORMAL,0,1
24.961,31.1,0.2426,0,0.000,3.41,NORMAL,0,1
24.998,30.7,0.2386,0,0.000,3.40,NORMAL,0,1
25.019,30.2,0.2334,0,0.000,3.39,NORMAL,0,1
25.055,32.0,0.2352,0,0.000,3.38,NORMAL,0,1
25.088,31.6,0.2374,0,0.000,3.37,NORMAL,0,1
25.124,31.6,0.2318,0,0.000,3.36,NORMAL,0,1
25.153,31.1,0.2454,0,0.000,3.36,NORMAL,0,1
25.195,31.5,0.2613,0,0.000,3.35,NORMAL,0,1
25.221,30.7,0.2684,0,0.000,3.34,NORMAL,0,1
25.262,31.4,0.2643,0,0.000,3.33,NORMAL,0,1
25.285,30.7,0.2584,0,0.000,3.32,NORMAL,0,1
25.324,31.8,0.2616,0,0.000,3.32,NORMAL,0,1
25.360,31.3,0.2590,0,0.000,3.31,NORMAL,0,1
25.396,30.9,0.2575,0,0.000,3.30,NORMAL,0,1
25.425,30.6,0.2628,0,0.000,3.29,NORMAL,0,1
25.454,31.0,0.2651,0,0.000,3.28,NORMAL,0,1
25.486,31.3,0.2600,0,0.000,3.28,NORMAL,0,1
25.534,31.3,0.2494,0,0.000,3.27,NORMAL,0,1
25.563,30.2,0.2437,0,0.000,3.26,NORMAL,0,1
25.595,30.7,0.2398,0,0.000,3.25,NORMAL,0,1
25.627,30.7,0.2437,0,0.000,3.24,NORMAL,0,1
25.662,31.0,0.2530,0,0.000,3.24,NORMAL,0,1
25.694,30.6,0.2419,0,0.000,3.23,NORMAL,0,1
