elapsed_s,fps,ear,eye_closed,closed_dur_s,perclos,state,cause,face_detected
17.554,31.4,0.3320,0,0.000,0.00,NORMAL,RECOVERED,1
17.586,30.7,0.3336,0,0.000,0.00,NORMAL,RECOVERED,1
17.626,30.7,0.3370,0,0.000,0.00,NORMAL,RECOVERED,1
17.651,30.2,0.3337,0,0.000,0.00,NORMAL,RECOVERED,1
17.683,31.3,0.3387,0,0.000,0.00,NORMAL,RECOVERED,1
17.716,31.3,0.3283,0,0.000,0.00,NORMAL,RECOVERED,1
17.748,31.1,0.3312,0,0.000,0.00,NORMAL,RECOVERED,1
17.781,31.1,0.3378,0,0.000,0.00,NORMAL,RECOVERED,1
17.819,31.0,0.3384,0,0.000,0.00,NORMAL,RECOVERED,1
17.846,30.6,0.3428,0,0.000,0.00,NORMAL,RECOVERED,1
17.883,31.2,0.3428,0,0.000,0.00,NORMAL,RECOVERED,1
17.914,30.8,0.3378,0,0.000,0.00,NORMAL,RECOVERED,1
17.960,31.0,0.3359,0,0.000,0.00,NORMAL,RECOVERED,1
17.979,30.0,0.3401,0,0.000,0.00,NORMAL,RECOVERED,1
18.020,32.2,0.3324,0,0.000,0.00,NORMAL,RECOVERED,1
18.047,31.4,0.3323,0,0.000,0.00,NORMAL,RECOVERED,1
18.082,32.1,0.3288,0,0.000,0.00,NORMAL,RECOVERED,1
18.114,31.7,0.3316,0,0.000,0.00,NORMAL,RECOVERED,1
18.152,31.6,0.3270,0,0.000,0.00,NORMAL,RECOVERED,1
18.182,31.1,0.3152,0,0.000,0.00,NORMAL,RECOVERED,1
18.217,31.4,0.3081,0,0.000,0.00,NORMAL,RECOVERED,1
18.248,31.1,0.3174,0,0.000,0.00,NORMAL,RECOVERED,1
18.288,31.2,0.3242,0,0.000,0.00,NORMAL,RECOVERED,1
18.319,30.6,0.3261,0,0.000,0.00,NORMAL,RECOVERED,1
18.352,30.8,0.3264,0,0.000,0.00,NORMAL,RECOVERED,1
18.381,30.7,0.3251,0,0.000,0.00,NORMAL,RECOVERED,1
18.417,31.1,0.3231,0,0.000,0.00,NORMAL,RECOVERED,1
18.448,30.8,0.3258,0,0.000,0.00,NORMAL,RECOVERED,1
18.481,30.9,0.3254,0,0.000,0.00,NORMAL,RECOVERED,1
18.514,30.8,0.3304,0,0.000,0.00,NORMAL,RECOVERED,1
18.548,30.8,0.3223,0,0.000,0.00,NORMAL,RECOVERED,1
18.581,30.6,0.3260,0,0.000,0.00,NORMAL,RECOVERED,1
18.620,30.6,0.3255,0,0.000,0.00,NORMAL,RECOVERED,1
18.646,30.1,0.3258,0,0.000,0.00,NORMAL,RECOVERED,1
18.683,31.0,0.3262,0,0.000,0.00,NORMAL,RECOVERED,1
18.714,30.6,0.3306,0,0.000,0.00,NORMAL,RECOVERED,1
18.748,30.9,0.3285,0,0.000,0.00,NORMAL,RECOVERED,1
18.780,30.6,0.3306,0,0.000,0.00,NORMAL,RECOVERED,1
18.816,30.8,0.3313,0,0.000,0.00,NORMAL,RECOVERED,1
18.851,30.4,0.3314,0,0.000,0.00,NORMAL,RECOVERED,1
18.883,30.3,0.3326,0,0.000,0.00,NORMAL,RECOVERED,1
18.914,30.4,0.3307,0,0.000,0.00,NORMAL,RECOVERED,1
18.958,30.6,0.3324,0,0.000,0.00,NORMAL,RECOVERED,1
18.980,29.8,0.3268,0,0.000,0.00,NORMAL,RECOVERED,1
19.018,31.4,0.3333,0,0.000,0.00,NORMAL,RECOVERED,1
19.048,30.9,0.3331,0,0.000,0.00,NORMAL,RECOVERED,1
19.083,31.1,0.3295,0,0.000,0.00,NORMAL,RECOVERED,1
19.114,31.0,0.3392,0,0.000,0.00,NORMAL,RECOVERED,1
19.149,31.0,0.3309,0,0.000,0.00,NORMAL,RECOVERED,1
19.181,30.8,0.3330,0,0.000,0.00,NORMAL,RECOVERED,1
19.215,30.8,0.3309,0,0.000,0.00,NORMAL,RECOVERED,1
19.248,30.7,0.3349,0,0.000,0.00,NORMAL,RECOVERED,1
19.287,30.8,0.3313,0,0.000,0.00,NORMAL,RECOVERED,1
19.313,30.1,0.3343,0,0.000,0.00,NORMAL,RECOVERED,1
19.348,31.1,0.3407,0,0.000,0.00,NORMAL,RECOVERED,1
19.380,30.8,0.3352,0,0.000,0.00,NORMAL,RECOVERED,1
19.415,30.8,0.3329,0,0.000,0.00,NORMAL,RECOVERED,1
19.448,30.7,0.3306,0,0.000,0.00,NORMAL,RECOVERED,1
19.482,30.6,0.3260,0,0.000,0.00,NORMAL,RECOVERED,1
19.513,30.4,0.3259,0,0.000,0.00,NORMAL,RECOVERED,1
19.548,30.6,0.3339,0,0.000,0.00,NORMAL,RECOVERED,1
19.580,30.4,0.3326,0,0.000,0.00,NORMAL,RECOVERED,1
19.622,30.5,0.3272,0,0.000,0.00,NORMAL,RECOVERED,1
19.647,29.9,0.3287,0,0.000,0.00,NORMAL,RECOVERED,1
19.686,30.8,0.3289,0,0.000,0.00,NORMAL,RECOVERED,1
19.715,30.3,0.3296,0,0.000,0.00,NORMAL,RECOVERED,1
19.756,30.8,0.3326,0,0.000,0.00,NORMAL,RECOVERED,1
19.787,30.1,0.3299,0,0.000,0.00,NORMAL,RECOVERED,1
19.820,30.5,0.3298,0,0.000,0.00,NORMAL,RECOVERED,1
19.849,30.3,0.3361,0,0.000,0.00,NORMAL,RECOVERED,1
19.882,30.9,0.3308,0,0.000,0.00,NORMAL,RECOVERED,1
19.915,30.8,0.3328,0,0.000,0.00,NORMAL,RECOVERED,1
19.957,30.7,0.3339,0,0.000,0.00,NORMAL,RECOVERED,1
19.980,30.0,0.3343,0,0.000,0.00,NORMAL,RECOVERED,1
20.017,31.5,0.3391,0,0.000,0.00,NORMAL,RECOVERED,1
20.048,31.0,0.3345,0,0.000,0.00,NORMAL,RECOVERED,1
20.082,31.2,0.3371,0,0.000,0.00,NORMAL,RECOVERED,1
20.114,31.0,0.3296,0,0.000,0.00,NORMAL,RECOVERED,1
20.148,31.1,0.3304,0,0.000,0.00,NORMAL,RECOVERED,1
20.181,30.8,0.3360,0,0.000,0.00,NORMAL,RECOVERED,1
20.216,30.9,0.3302,0,0.000,0.00,NORMAL,RECOVERED,1
20.248,30.6,0.3340,0,0.000,0.00,NORMAL,RECOVERED,1
20.287,30.7,0.3294,0,0.000,0.00,NORMAL,RECOVERED,1
20.314,30.2,0.3266,0,0.000,0.00,NORMAL,RECOVERED,1
20.348,30.9,0.3296,0,0.000,0.00,NORMAL,RECOVERED,1
20.381,30.7,0.3297,0,0.000,0.00,NORMAL,RECOVERED,1
20.416,30.7,0.3295,0,0.000,0.00,NORMAL,RECOVERED,1
20.447,30.5,0.3309,0,0.000,0.00,NORMAL,RECOVERED,1
20.482,30.6,0.3322,0,0.000,0.00,NORMAL,RECOVERED,1
20.514,30.5,0.2818,0,0.000,0.00,NORMAL,RECOVERED,1
20.549,30.5,0.0519,1,0.000,0.34,NORMAL,INSTANT,1
20.581,30.4,0.0322,1,0.032,0.67,NORMAL,INSTANT,1
